0:alaa abdelnaby
1:zaid abdul-aziz
2:kareem abdul-jabbar
3:mahmoud abdul-rauf
4:tariq abdul-wahad
5:shareef abdur-rahim
6:tom abernethy
7:forest able
8:john abramovic
9:álex abrines
10:alex acker
11:don ackerman
12:mark acres
13:bud acton
14:quincy acy
15:alvan adams
16:don adams
17:george adams
18:hassan adams
19:jaylen adams
20:jordan adams
21:michael adams
22:steven adams
23:rafael addison
24:bam adebayo
25:deng adel
26:rick adelman
27:jeff adrien
28:arron afflalo
29:maurice ager
30:mark aguirre
31:blake ahearn
32:danny ainge
33:matthew aitch
34:alexis ajinça
35:henry akin
36:josh akognon
37:devaughn akoon-purcell
38:solomon alabi
39:mark alarie
40:gary alcorn
41:furkan aldemir
42:cole aldrich
43:lamarcus aldridge
44:chuck aleksinas
45:cliff alexander
46:cory alexander
47:courtney alexander
48:gary alexander
49:joe alexander
50:victor alexander
51:nickeil alexander-walker
52:steve alford
53:rawle alkins
54:bill allen
55:bob allen
56:grayson allen
57:jarrett allen
58:jerome allen
59:kadeem allen
60:lavoy allen
61:lucius allen
62:malik allen
63:randy allen
64:ray allen
65:tony allen
66:willie allen
67:odis allison
68:lance allred
69:darrell allums
70:morris almond
71:derrick alston
72:rafer alston
73:peter aluma
74:john amaechi
75:ashraf amaya
76:al-farouq aminu
77:lou amundson
78:bob anderegg
79:chris andersen
80:david andersen
81:alan anderson
82:andrew anderson
83:antonio anderson
84:cliff anderson
85:dan anderson
86:dan anderson#
87:derek anderson
88:dwight anderson
89:eric anderson
90:greg anderson
91:j.j. anderson
92:james anderson
93:jerome anderson
94:justin anderson
95:kenny anderson
96:kim anderson
97:kyle anderson
98:michael anderson
99:nick anderson
100:richard anderson
101:ron anderson
102:ryan anderson
103:shandon anderson
104:willie anderson
105:wally anderzunas
106:martynas andriuškevičius
107:don anielak
108:ike anigbogu
109:michael ansley
110:chris anstey
111:giannis antetokounmpo
112:kostas antetokounmpo
113:thanasis antetokounmpo
114:carmelo anthony
115:greg anthony
116:joel anthony
117:pero antić
118:og anunoby
119:keith appling
120:rafael araújo
121:stacey arceneaux
122:robert archibald
123:tiny archibald
124:ryan arcidiacono
125:jim ard
126:gilbert arenas
127:trevor ariza
128:paul arizin
129:joe arlauckas
130:b.j. armstrong
131:bob armstrong
132:brandon armstrong
133:curly armstrong
134:darrell armstrong
135:hilton armstrong
136:tate armstrong
137:jesse arnelle
138:jay arnette
139:bob arnzen
140:carlos arroyo
141:darrell arthur
142:john arthurs
143:jamel artis
144:ömer aşık
145:vincent askew
146:keith askins
147:don asmonga
148:dick atha
149:chucky atkins
150:al attles
151:chet aubuchon
152:stacey augmon
153:d.j. augustin
154:james augustine
155:isaac austin
156:johnny austin
157:ken austin
158:anthony avent
159:bird averitt
160:william avery
161:dennis awtrey
162:gustavo ayón
163:jeff ayres
164:deandre ayton
165:kelenna azubuike
166:chris babb
167:luke babbitt
168:miloš babić
169:johnny bach
170:dwayne bacon
171:henry bacon
172:jim baechtold
173:dalibor bagarić
174:john bagley
175:marvin bagley
176:carl bailey
177:gus bailey
178:james bailey
179:thurl bailey
180:toby bailey
181:cameron bairstow
182:jimmie baker
183:lamark baker
184:maurice baker
185:norm baker
186:ron baker
187:vin baker
188:wade baldwin
189:renaldo balkman
190:cedric ball
191:lonzo ball
192:greg ballard
193:herschel baltimore
194:mohamed bamba
195:gene banks
196:marcus banks
197:walker banks
198:ken bannister
199:mike bantom
200:john barber
201:leandro barbosa
202:steve bardo
203:j.j. barea
204:andrea bargnani
205:cliff barker
206:tom barker
207:charles barkley
208:erick barkley
209:don barksdale
210:harrison barnes
211:harry barnes
212:jim barnes
213:marvin barnes
214:matt barnes
215:dick barnett
216:jim barnett
217:nathaniel barnett
218:john barnhill
219:norton barnhill
220:leo barnhorst
221:john barr
222:mike barr
223:moe barr
224:andre barrett
225:ernie barrett
226:mike barrett
227:rj barrett
228:earl barron
229:dana barros
230:brent barry
231:drew barry
232:jon barry
233:rick barry
234:ed bartels
235:vic bartolome
236:will barton
237:eddie basden
238:jerry baskerville
239:brandon bass
240:tim bassett
241:maceo baston
242:mengke bateer
243:billy ray bates
244:keita bates-diop
245:esteban batista
246:mike batiste
247:tony battie
248:shane battier
249:john battle
250:kenny battle
251:dave batton
252:lloyd batts
253:nicolas batum
254:johnny baum
255:frankie baumholtz
256:lonny baxter
257:jerryd bayless
258:elgin baylor
259:howard bayne
260:aron baynes
261:sergei bazarevich
262:kent bazemore
263:darius bazley
264:ed beach
265:bradley beal
266:al beard
267:butch beard
268:ralph beard
